name	value
Paul Seymour	1954-1955 East Starter
Bob Cousy	1954-1955 East Starter
Jack Coleman	1954-1955 West Reserve
Slater Martin	1954-1955 West Reserve
Vern Mikkelsen	1954-1955 West Reserve
Bob Pettit	1954-1955 West Reserve
Arnie Risen	1954-1955 West Reserve
Andy Phillip	1954-1955 West Reserve
Bobby Wanzer	1954-1955 West Starter
Larry Foust	1954-1955 West Starter
Jim Pollard	1954-1955 West Starter
George Yardley	1954-1955 West Starter
Frank Selvy	1954-1955 West Starter
Bill Sharman	1955-1956 East Reserve
Jack George	1955-1956 East Reserve
Steve Kerr	1955-1956 East Reserve
Ed Macauley	1955-1956 East Reserve
Harry Gallatin	1955-1956 East Reserve
Carl Braun	1955-1956 East Reserve
Dolph Schayes	1955-1956 East Starter
Paul Arizin	1955-1956 East Starter
Dick McGuire	1955-1956 East Starter
Bob Cousy	1955-1956 East Starter
Neil Johnston	1955-1956 East Starter
Larry Foust	1955-1956 West Reserve
Maurice Stokes	1955-1956 West Reserve
Vern Mikkelsen	1955-1956 West Reserve
Clyde Lovellette	1955-1956 West Reserve
Bob Harrison	1955-1956 West Reserve
Slater Martin	1955-1956 West Starter
Bob Pettit	1955-1956 West Starter
George Yardley	1955-1956 West Starter
Mel Hutchins	1955-1956 West Starter
Bobby Wanzer	1955-1956 West Starter
Carl Braun	1956-1957 East Reserve
Jack George	1956-1957 East Reserve
Nat Clifton	1956-1957 East Reserve
Harry Gallatin	1956-1957 East Reserve
Tom Heinsohn	1956-1957 East Reserve
Neil Johnston	1956-1957 East Starter
Dolph Schayes	1956-1957 East Starter
Bill Sharman	1956-1957 East Starter
Bob Cousy	1956-1957 East Starter
Paul Arizin	1956-1957 East Starter
Ed Macauley	1956-1957 West Reserve
Mel Hutchins	1956-1957 West Reserve
Vern Mikkelsen	1956-1957 West Reserve
Richie Regan	1956-1957 West Reserve
Clyde Lovellette	1956-1957 West Reserve
Jack Twyman	1956-1957 West Reserve
Maurice Stokes	1956-1957 West Starter
Bob Pettit	1956-1957 West Starter
George Yardley	1956-1957 West Starter
Dick Garmaker	1956-1957 West Starter
Slater Martin	1956-1957 West Starter
Larry Costello	1957-1958 East Reserve
Richie Guerin	1957-1958 East Reserve
Neil Johnston	1957-1958 East Reserve
Paul Arizin	1957-1958 East Reserve
Ken Sears	1957-1958 East Reserve
Bob Cousy	1957-1958 East Starter
Bill Sharman	1957-1958 East Starter
Dolph Schayes	1957-1958 East Starter
Willie Naulls	1957-1958 East Starter
Bill Russell	1957-1958 East Starter
Cliff Hagan	1957-1958 West Reserve
Dick McGuire	1957-1958 West Reserve
Gene Shue	1957-1958 West Reserve
Larry Foust	1957-1958 West Reserve
Jack Twyman	1957-1958 West Reserve
Maurice Stokes	1957-1958 West Starter
Bob Pettit	1957-1958 West Starter
George Yardley	1957-1958 West Starter
Dick Garmaker	1957-1958 West Starter
Slater Martin	1957-1958 West Starter
Woody Sauldsberry	1958-1959 East Reserve
Steve Kerr	1958-1959 East Reserve
Larry Costello	1958-1959 East Reserve
Richie Guerin	1958-1959 East Reserve
Dolph Schayes	1958-1959 East Reserve
Bill Russell	1958-1959 East Starter
Paul Arizin	1958-1959 East Starter
Ken Sears	1958-1959 East Starter
Bob Cousy	1958-1959 East Starter
Bill Sharman	1958-1959 East Starter
Larry Foust	1958-1959 West Reserve
Dick McGuire	1958-1959 West Reserve
Jack Twyman	1958-1959 West Reserve
Dick Garmaker	1958-1959 West Reserve
George Yardley	1958-1959 West Reserve
Slater Martin	1958-1959 West Starter
Bob Pettit	1958-1959 West Starter
Elgin Baylor	1958-1959 West Starter
Cliff Hagan	1958-1959 West Starter
Gene Shue	1958-1959 West Starter
George Yardley	1959-1960 East Reserve
Tom Gola	1959-1960 East Reserve
Bill Sharman	1959-1960 East Reserve
Larry Costello	1959-1960 East Reserve
Bill Russell	1959-1960 East Reserve
Willie Naulls	1959-1960 East Reserve
Wilt Chamberlain	1959-1960 East Starter
Paul Arizin	1959-1960 East Starter
Dolph Schayes	1959-1960 East Starter
Richie Guerin	1959-1960 East Starter
Bob Cousy	1959-1960 East Starter
Chuck Noble	1959-1960 West Reserve
Clyde Lovellette	1959-1960 West Reserve
Rod Hundley	1959-1960 West Reserve
Cliff Hagan	1959-1960 West Reserve
Elgin Baylor	1959-1960 West Reserve
Walter Dukes	1959-1960 West Starter
Jack Twyman	1959-1960 West Starter
Bob Pettit	1959-1960 West Starter
Dick Garmaker	1959-1960 West Starter
Gene Shue	1959-1960 West Starter
Paul Arizin	1960-1961 East Reserve
Willie Naulls	1960-1961 East Reserve
Larry Costello	1960-1961 East Reserve
Bill Russell	1960-1961 East Reserve
Tom Gola	1960-1961 East Reserve
Hal Greer	1960-1961 East Reserve
Bob Cousy	1960-1961 East Starter
Richie Guerin	1960-1961 East Starter
Dolph Schayes	1960-1961 East Starter
Tom Heinsohn	1960-1961 East Starter
Wilt Chamberlain	1960-1961 East Starter
Jerry West	1960-1961 West Reserve
Cliff Hagan	1960-1961 West Reserve
Bailey Howell	1960-1961 West Reserve
Walter Dukes	1960-1961 West Reserve
Wayne Embry	1960-1961 West Reserve
Rod Hundley	1960-1961 West Reserve
Clyde Lovellette	1960-1961 West Starter
Oscar Robertson	1960-1961 West Starter
Gene Shue	1960-1961 West Starter
Elgin Baylor	1960-1961 West Starter
Bob Pettit	1960-1961 West Starter
Larry Costello	1961-1962 East Reserve
Johnny Green	1961-1962 East Reserve
Tom Gola	1961-1962 East Reserve
Sam Jones	1961-1962 East Reserve
Paul Arizin	1961-1962 East Reserve
Hal Greer	1961-1962 East Reserve
Willie Naulls	1961-1962 East Reserve
Bill Russell	1961-1962 East Reserve
Wilt Chamberlain	1961-1962 East Starter
Tom Heinsohn	1961-1962 East Starter
Dolph Schayes	1961-1962 East Starter
Bob Cousy	1961-1962 East Starter
Richie Guerin	1961-1962 East Starter
Cliff Hagan	1961-1962 West Reserve
Jack Twyman	1961-1962 West Reserve
Bailey Howell	1961-1962 West Reserve
Wayne Embry	1961-1962 West Reserve
Gene Shue	1961-1962 West Reserve
Frank Selvy	1961-1962 West Reserve
Walt Bellamy	1961-1962 West Starter
Bob Pettit	1961-1962 West Starter
Jerry West	1961-1962 West Starter
Elgin Baylor	1961-1962 West Starter
Oscar Robertson	1961-1962 West Starter
Bailey Howell	1962-1963 East Reserve
Terry Dischinger	1962-1963 East Reserve
Rudy LaRusso	1962-1963 East Reserve
Lenny Wilkens	1962-1963 East Reserve
Walt Bellamy	1962-1963 East Reserve
Tom Meschery	1962-1963 East Reserve
Don Ohl	1962-1963 East Reserve
Elgin Baylor	1962-1963 East Starter
Wilt Chamberlain	1962-1963 East Starter
Bob Pettit	1962-1963 East Starter
Jerry West	1962-1963 East Starter
Guy Rodgers	1962-1963 East Starter
Wayne Embry	1962-1963 West Reserve
Richie Guerin	1962-1963 West Reserve
Hal Greer	1962-1963 West Reserve
Tom Gola	1962-1963 West Reserve
Johnny Green	1962-1963 West Reserve
Steve Kerr	1962-1963 West Reserve
Lee Shaffer	1962-1963 West Reserve
Jack Twyman	1962-1963 West Starter
Oscar Robertson	1962-1963 West Starter
Bob Cousy	1962-1963 West Starter
Tom Heinsohn	1962-1963 West Starter
Bill Russell	1962-1963 West Starter
Sam Jones	1963-1964 East Reserve
Wayne Embry	1963-1964 East Reserve
Len Chappell	1963-1964 East Reserve
Chet Walker	1963-1964 East Reserve
Tom Gola	1963-1964 East Reserve
Bill Russell	1963-1964 East Starter
Jerry Lucas	1963-1964 East Starter
Tom Heinsohn	1963-1964 East Starter
Hal Greer	1963-1964 East Starter
Oscar Robertson	1963-1964 East Starter
Terry Dischinger	1963-1964 West Reserve
Bailey Howell	1963-1964 West Reserve
Don Ohl	1963-1964 West Reserve
Lenny Wilkens	1963-1964 West Reserve
Wilt Chamberlain	1963-1964 West Reserve
Jerry West	1963-1964 West Starter
Bob Pettit	1963-1964 West Starter
Elgin Baylor	1963-1964 West Starter
Guy Rodgers	1963-1964 West Starter
Walt Bellamy	1963-1964 West Starter
Johnny Green	1964-1965 East Reserve
Willis Reed	1964-1965 East Reserve
Larry Costello	1964-1965 East Reserve
Hal Greer	1964-1965 East Reserve
Tom Heinsohn	1964-1965 East Reserve
Wayne Embry	1964-1965 East Reserve
Bill Russell	1964-1965 East Starter
Luke Jackson	1964-1965 East Starter
Jerry Lucas	1964-1965 East Starter
Sam Jones	1964-1965 East Starter
Oscar Robertson	1964-1965 East Starter
Gus Johnson	1964-1965 West Reserve
Don Ohl	1964-1965 West Reserve
Walt Bellamy	1964-1965 West Reserve
Nate Thurmond	1964-1965 West Reserve
Terry Dischinger	1964-1965 West Reserve
Bob Pettit	1964-1965 West Starter
Wilt Chamberlain	1964-1965 West Starter
Elgin Baylor	1964-1965 West Starter
Lenny Wilkens	1964-1965 West Starter
Jerry West	1964-1965 West Starter
Hal Greer	1965-1966 East Reserve
Willis Reed	1965-1966 East Reserve
Adrian Smith	1965-1966 East Reserve
Chet Walker	1965-1966 East Reserve
Bill Russell	1965-1966 East Starter
Wilt Chamberlain	1965-1966 East Starter
John Havlicek	1965-1966 East Starter
Jerry Lucas	1965-1966 East Starter
Sam Jones	1965-1966 East Starter
Oscar Robertson	1965-1966 East Starter
Zelmo Beaty	1965-1966 West Reserve
Don Ohl	1965-1966 West Reserve
Rudy LaRusso	1965-1966 West Reserve
Eddie Miles	1965-1966 West Reserve
Dave DeBusschere	1965-1966 West Reserve
Nate Thurmond	1965-1966 West Starter
Bailey Howell	1965-1966 West Starter
Rick Barry	1965-1966 West Starter
Guy Rodgers	1965-1966 West Starter
Jerry West	1965-1966 West Starter
Darrall Imhoff	1966-1967 East Reserve
Jerry Sloan	1966-1967 East Reserve
Dave DeBusschere	1966-1967 East Reserve
Bill Bridges	1966-1967 East Reserve
Lenny Wilkens	1966-1967 East Reserve
Jerry West	1966-1967 East Starter
Guy Rodgers	1966-1967 East Starter
Rick Barry	1966-1967 East Starter
Elgin Baylor	1966-1967 East Starter
Nate Thurmond	1966-1967 East Starter
Jerry Lucas	1966-1967 West Reserve
Don Ohl	1966-1967 West Reserve
John Havlicek	1966-1967 West Reserve
Chet Walker	1966-1967 West Reserve
Bill Russell	1966-1967 West Reserve
Willis Reed	1966-1967 West Starter
Oscar Robertson	1966-1967 West Starter
Wilt Chamberlain	1966-1967 West Starter
Hal Greer	1966-1967 West Starter
Bailey Howell	1966-1967 West Starter
Gus Johnson	1967-1968 East Reserve
Bill Russell	1967-1968 East Reserve
Hal Greer	1967-1968 East Reserve
Sam Jones	1967-1968 East Reserve
Dick Barnett	1967-1968 East Reserve
Dave DeBusschere	1967-1968 East Reserve
John Havlicek	1967-1968 East Reserve
Oscar Robertson	1967-1968 East Starter
Dave Bing	1967-1968 East Starter
Willis Reed	1967-1968 East Starter
Jerry Lucas	1967-1968 East Starter
Wilt Chamberlain	1967-1968 East Starter
Rudy LaRusso	1967-1968 West Reserve
Zelmo Beaty	1967-1968 West Reserve
Jim King	1967-1968 West Reserve
Bill Bridges	1967-1968 West Reserve
Clyde Lee	1967-1968 West Reserve
Archie Clark	1967-1968 West Reserve
Don Kojis	1967-1968 West Reserve
Tariq Abdul-Wahad	1967-1968 West Reserve
Nate Thurmond	1967-1968 West Starter
Elgin Baylor	1967-1968 West Starter
Bob Boozer	1967-1968 West Starter
Lenny Wilkens	1967-1968 West Starter
Jerry West	1967-1968 West Starter
Willis Reed	1968-1969 East Reserve
Dave Bing	1968-1969 East Reserve
Jon McGlocklin	1968-1969 East Reserve
Hal Greer	1968-1969 East Reserve
Jerry Lucas	1968-1969 East Reserve
Wes Unseld	1968-1969 East Reserve
Gus Johnson	1968-1969 East Reserve
John Havlicek	1968-1969 East Starter
Bill Russell	1968-1969 East Starter
Billy Cunningham	1968-1969 East Starter
Earl Monroe	1968-1969 East Starter
Oscar Robertson	1968-1969 East Starter
Lou Hudson	1968-1969 West Reserve
Jeff Mullins	1968-1969 West Reserve
Wilt Chamberlain	1968-1969 West Reserve
Rudy LaRusso	1968-1969 West Reserve
Jerry Sloan	1968-1969 West Reserve
Joe Caldwell	1968-1969 West Reserve
Dick Van Arsdale	1968-1969 West Reserve
Gail Goodrich	1968-1969 West Reserve
Elvin Hayes	1968-1969 West Starter
Lenny Wilkens	1968-1969 West Starter
Don Kojis	1968-1969 West Starter
Elgin Baylor	1968-1969 West Starter
Jerry West	1968-1969 West Starter
Flynn Robinson	1969-1970 East Reserve
Jimmy Walker	1969-1970 East Reserve
Tom Van Arsdale	1969-1970 East Reserve
Kareem Abdul-Jabbar	1969-1970 East Reserve
Dave DeBusschere	1969-1970 East Reserve
Gus Johnson	1969-1970 East Reserve
Hal Greer	1969-1970 East Reserve
Walt Frazier	1969-1970 East Starter
Oscar Robertson	1969-1970 East Starter
Billy Cunningham	1969-1970 East Starter
John Havlicek	1969-1970 East Starter
Willis Reed	1969-1970 East Starter
Joe Caldwell	1969-1970 West Reserve
Chet Walker	1969-1970 West Reserve
Bill Bridges	1969-1970 West Reserve
Dick Van Arsdale	1969-1970 West Reserve
Lenny Wilkens	1969-1970 West Reserve
Elvin Hayes	1969-1970 West Reserve
Bob Rule	1969-1970 West Reserve
Jeff Mullins	1969-1970 West Reserve
Jerry West	1969-1970 West Starter
Nate Thurmond	1969-1970 West Starter
Elgin Baylor	1969-1970 West Starter
Connie Hawkins	1969-1970 West Starter
Lou Hudson	1969-1970 West Starter
Lenny Wilkens	1970-1971 East Reserve
Geoff Petrie	1970-1971 East Reserve
Oscar Robertson	1970-1971 East Reserve
Dick Van Arsdale	1970-1971 East Reserve
Chet Walker	1970-1971 East Reserve
Jeff Mullins	1970-1971 East Reserve
Bob Love	1970-1971 East Reserve
Elvin Hayes	1970-1971 East Reserve
Wilt Chamberlain	1970-1971 East Reserve
Connie Hawkins	1970-1971 East Starter
Jerry Lucas	1970-1971 East Starter
Jerry West	1970-1971 East Starter
Dave Bing	1970-1971 East Starter
Kareem Abdul-Jabbar	1970-1971 East Starter
Wes Unseld	1970-1971 West Reserve
Bob Kauffman	1970-1971 West Reserve
Jojo White	1970-1971 West Reserve
John Johnson	1970-1971 West Reserve
Gus Johnson	1970-1971 West Reserve
Lou Hudson	1970-1971 West Reserve
Dave DeBusschere	1970-1971 West Reserve
Johnny Green	1970-1971 West Reserve
Tom Van Arsdale	1970-1971 West Reserve
John Havlicek	1970-1971 West Starter
Walt Frazier	1970-1971 West Starter
Earl Monroe	1970-1971 West Starter
Billy Cunningham	1970-1971 West Starter
Willis Reed	1970-1971 West Starter
Oscar Robertson	1971-1972 East Reserve
Sidney Wicks	1971-1972 East Reserve
Bob Lanier	1971-1972 East Reserve
Wilt Chamberlain	1971-1972 East Reserve
Elvin Hayes	1971-1972 East Reserve
Paul Silas	1971-1972 East Reserve
Connie Hawkins	1971-1972 East Reserve
Cazzie Russell	1971-1972 East Reserve
Jimmy Walker	1971-1972 East Reserve
Gail Goodrich	1971-1972 East Starter
Kareem Abdul-Jabbar	1971-1972 East Starter
Bob Love	1971-1972 East Starter
Jerry West	1971-1972 East Starter
Spencer Haywood	1971-1972 East Starter
Dave DeBusschere	1971-1972 West Reserve
Archie Clark	1971-1972 West Reserve
Butch Beard	1971-1972 West Reserve
Jojo White	1971-1972 West Reserve
Wes Unseld	1971-1972 West Reserve
Jack Marin	1971-1972 West Reserve
Bob Kauffman	1971-1972 West Reserve
John Johnson	1971-1972 West Reserve
Tom Van Arsdale	1971-1972 West Reserve
Walt Frazier	1971-1972 West Starter
Lou Hudson	1971-1972 West Starter
John Havlicek	1971-1972 West Starter
Billy Cunningham	1971-1972 West Starter
Dave Cowens	1971-1972 West Starter
Bill Bradley	1972-1973 East Reserve
Jojo White	1972-1973 East Reserve
Lenny Wilkens	1972-1973 East Reserve
John Block	1972-1973 East Reserve
Bob Kauffman	1972-1973 East Reserve
Lou Hudson	1972-1973 East Reserve
Elvin Hayes	1972-1973 East Reserve
Wes Unseld	1972-1973 East Reserve
Jack Marin	1972-1973 East Reserve
Dave Cowens	1972-1973 East Starter
Dave DeBusschere	1972-1973 East Starter
Pete Maravich	1972-1973 East Starter
Walt Frazier	1972-1973 East Starter
John Havlicek	1972-1973 East Starter
Connie Hawkins	1972-1973 West Reserve
Bob Dandridge	1972-1973 West Reserve
Gail Goodrich	1972-1973 West Reserve
Chet Walker	1972-1973 West Reserve
Nate Thurmond	1972-1973 West Reserve
Charlie Scott	1972-1973 West Reserve
Bob Love	1972-1973 West Reserve
Bob Lanier	1972-1973 West Reserve
Dave Bing	1972-1973 West Reserve
Wilt Chamberlain	1972-1973 West Reserve
Sidney Wicks	1972-1973 West Reserve
Nate Archibald	1972-1973 West Starter
Jerry West	1972-1973 West Starter
Spencer Haywood	1972-1973 West Starter
Rick Barry	1972-1973 West Starter
Kareem Abdul-Jabbar	1972-1973 West Starter
Charlie Scott	1973-1974 East Reserve
Sidney Wicks	1973-1974 East Reserve
Spencer Haywood	1973-1974 East Reserve
Dave Bing	1973-1974 East Reserve
Norm Van Lier	1973-1974 East Reserve
Nate Thurmond	1973-1974 East Reserve
Jerry West	1973-1974 East Reserve
Bob Lanier	1973-1974 East Reserve
Kareem Abdul-Jabbar	1973-1974 East Starter
Chet Walker	1973-1974 East Starter
Rick Barry	1973-1974 East Starter
Gail Goodrich	1973-1974 East Starter
Geoff Petrie	1973-1974 East Starter
Jojo White	1973-1974 West Reserve
Dave DeBusschere	1973-1974 West Reserve
Phil Chenier	1973-1974 West Reserve
Rudy Tomjanovich	1973-1974 West Reserve
Austin Carr	1973-1974 West Reserve
Bob McAdoo	1973-1974 West Reserve
Elvin Hayes	1973-1974 West Reserve
Dave Cowens	1973-1974 West Starter
Pete Maravich	1973-1974 West Starter
Lou Hudson	1973-1974 West Starter
John Havlicek	1973-1974 West Starter
Walt Frazier	1973-1974 West Starter
Dave Bing	1974-1975 East Reserve
Jim Price	1974-1975 East Reserve
Bob Dandridge	1974-1975 East Reserve
Sam Lacey	1974-1975 East Reserve
Charlie Scott	1974-1975 East Reserve
Bob Lanier	1974-1975 East Reserve
Sidney Wicks	1974-1975 East Reserve
Kareem Abdul-Jabbar	1974-1975 East Starter
Rick Barry	1974-1975 East Starter
Nate Archibald	1974-1975 East Starter
Gail Goodrich	1974-1975 East Starter
Spencer Haywood	1974-1975 East Starter
Jojo White	1974-1975 West Reserve
Phil Chenier	1974-1975 West Reserve
Paul Silas	1974-1975 West Reserve
Rudy Tomjanovich	1974-1975 West Reserve
Steve Mix	1974-1975 West Reserve
Dave Cowens	1974-1975 West Reserve
Wes Unseld	1974-1975 West Reserve
Walt Frazier	1974-1975 West Starter
Earl Monroe	1974-1975 West Starter
John Havlicek	1974-1975 West Starter
Elvin Hayes	1974-1975 West Starter
Bob McAdoo	1974-1975 West Starter
Rudy Tomjanovich	1975-1976 East Reserve
John Drew	1975-1976 East Reserve
Jojo White	1975-1976 East Reserve
Doug Collins	1975-1976 East Reserve
Randy Smith	1975-1976 East Reserve
George McGinnis	1975-1976 East Reserve
Dave Cowens	1975-1976 East Reserve
Bob McAdoo	1975-1976 East Starter
Elvin Hayes	1975-1976 East Starter
John Havlicek	1975-1976 East Starter
Dave Bing	1975-1976 East Starter
Walt Frazier	1975-1976 East Starter
Scott Wedman	1975-1976 West Reserve
Curtis Rowe	1975-1976 West Reserve
Jamaal Wilkes	1975-1976 West Reserve
Fred Brown	1975-1976 West Reserve
Alvan Adams	1975-1976 West Reserve
Phil Smith	1975-1976 West Reserve
Norm Van Lier	1975-1976 West Reserve
Rick Barry	1975-1976 West Starter
Bob Dandridge	1975-1976 West Starter
Kareem Abdul-Jabbar	1975-1976 West Starter
Nate Archibald	1975-1976 West Starter
Brian Winters	1975-1976 West Starter
John Havlicek	1976-1977 East Reserve
George Gervin	1976-1977 East Reserve
Jojo White	1976-1977 East Reserve
Elvin Hayes	1976-1977 East Reserve
Rudy Tomjanovich	1976-1977 East Reserve
Phil Chenier	1976-1977 East Reserve
Earl Monroe	1976-1977 East Reserve
Dave Cowens	1976-1977 East Reserve
Julius Erving	1976-1977 East Starter
Pete Maravich	1976-1977 East Starter
Doug Collins	1976-1977 East Starter
George McGinnis	1976-1977 East Starter
Bob McAdoo	1976-1977 East Starter
Bob Lanier	1976-1977 West Reserve
Don Buse	1976-1977 West Reserve
Maurice Lucas	1976-1977 West Reserve
Billy Knight	1976-1977 West Reserve
Kareem Abdul-Jabbar	1976-1977 West Reserve
Phil Smith	1976-1977 West Reserve
Rick Barry	1976-1977 West Reserve
Bill Walton	1976-1977 West Reserve
Norm Van Lier	1976-1977 West Starter
Bobby Jones	1976-1977 West Starter
Dan Issel	1976-1977 West Starter
Paul Westphal	1976-1977 West Starter
David Thompson	1976-1977 West Starter
Randy Smith	1977-1978 East Reserve
Bob McAdoo	1977-1978 East Reserve
Elvin Hayes	1977-1978 East Reserve
Truck Robinson	1977-1978 East Reserve
Moses Malone	1977-1978 East Reserve
Doug Collins	1977-1978 East Reserve
John Havlicek	1977-1978 East Reserve
George Gervin	1977-1978 East Starter
Julius Erving	1977-1978 East Starter
Pete Maravich	1977-1978 East Starter
Larry Kenon	1977-1978 East Starter
Dave Cowens	1977-1978 East Starter
Bobby Jones	1977-1978 West Reserve
Lionel Hollins	1977-1978 West Reserve
Brian Winters	1977-1978 West Reserve
Walter Davis	1977-1978 West Reserve
Artis Gilmore	1977-1978 West Reserve
Bob Lanier	1977-1978 West Reserve
Bill Walton	1977-1978 West Starter
David Thompson	1977-1978 West Starter
Paul Westphal	1977-1978 West Starter
Maurice Lucas	1977-1978 West Starter
Rick Barry	1977-1978 West Starter
Bob Lanier	1978-1979 East Reserve
Doug Collins	1978-1979 East Reserve
Bob Dandridge	1978-1979 East Reserve
Campy Russell	1978-1979 East Reserve
Elvin Hayes	1978-1979 East Reserve
Calvin Murphy	1978-1979 East Reserve
Larry Kenon	1978-1979 East Reserve
Moses Malone	1978-1979 East Starter
Rudy Tomjanovich	1978-1979 East Starter
Pete Maravich	1978-1979 East Starter
Julius Erving	1978-1979 East Starter
George Gervin	1978-1979 East Starter
Dennis Johnson	1978-1979 West Reserve
Maurice Lucas	1978-1979 West Reserve
Walter Davis	1978-1979 West Reserve
Jack Sikma	1978-1979 West Reserve
Artis Gilmore	1978-1979 West Reserve
Otis Birdsong	1978-1979 West Reserve
George McGinnis	1978-1979 West Starter
Kareem Abdul-Jabbar	1978-1979 West Starter
Marques Johnson	1978-1979 West Starter
Paul Westphal	1978-1979 West Starter
David Thompson	1978-1979 West Starter
Nate Archibald	1979-1980 East Reserve
Elvin Hayes	1979-1980 East Reserve
Micheal Ray Richardson	1979-1980 East Reserve
Bill Cartwright	1979-1980 East Reserve
Dave Cowens	1979-1980 East Reserve
Larry Bird	1979-1980 East Reserve
Dan Roundfield	1979-1980 East Reserve
Moses Malone	1979-1980 East Starter
John Drew	1979-1980 East Starter
Eddie Johnson	1979-1980 East Starter
George Gervin	1979-1980 East Starter
Julius Erving	1979-1980 East Starter
Paul Westphal	1979-1980 West Reserve
Kermit Washington	1979-1980 West Reserve
Walter Davis	1979-1980 West Reserve
Jack Sikma	1979-1980 West Reserve
Scott Wedman	1979-1980 West Reserve
Otis Birdsong	1979-1980 West Reserve
Dennis Johnson	1979-1980 West Reserve
Kareem Abdul-Jabbar	1979-1980 West Starter
Adrian Dantley	1979-1980 West Starter
Marques Johnson	1979-1980 West Starter
World Free	1979-1980 West Starter
Magic Johnson	1979-1980 West Starter
Robert Parish	1980-1981 East Reserve
Marques Johnson	1980-1981 East Reserve
Nate Archibald	1980-1981 East Reserve
Larry Bird	1980-1981 East Reserve
Bobby Jones	1980-1981 East Reserve
Micheal Ray Richardson	1980-1981 East Reserve
Mike Mitchell	1980-1981 East Reserve
Julius Erving	1980-1981 East Starter
Dan Roundfield	1980-1981 East Starter
Eddie Johnson	1980-1981 East Starter
Reggie Theus	1980-1981 East Starter
Artis Gilmore	1980-1981 East Starter
Jack Sikma	1980-1981 West Reserve
Jamaal Wilkes	1980-1981 West Reserve
Otis Birdsong	1980-1981 West Reserve
Truck Robinson	1980-1981 West Reserve
Moses Malone	1980-1981 West Reserve
